Arrow Name              	Arrow Definition                	Arrow Note                      	Arrow Source            	Arrow Source Type       	Arrow Dest.             	Arrow Dest. Type        	
________________________	________________________________	________________________________	________________________	________________________	________________________	________________________	

Акт выполненых работ    	                                	                                	Проверка качества       	Output                  	{ Border }              	Output                  	

Водитель                	                                	                                	{ Border }              	Mechanism               	Заключение договора с   	Mechanism               	
                        	                                	                                	                        	                        	перевозчиком            	                        	

                        	                                	                                	                        	                        	Доставка товара         	Mechanism               	

Врач                    	                                	                                	{ Border }              	Mechanism               	Производство одежды под 	Mechanism               	
                        	                                	                                	                        	                        	заказ на китайской      	                        	
                        	                                	                                	                        	                        	фабрике                 	                        	

Выполненый заказ        	                                	                                	Доставка товара         	Output                  	{ Border }              	Output                  	

Гладильный пресс        	                                	                                	{ Border }              	Mechanism               	Глажка                  	Mechanism               	

                        	                                	                                	                        	                        	Глажка после  пошива    	Mechanism               	

Готовая одежда          	                                	                                	Проверка качества       	Output                  	Страховка товара        	Input                   	

Готовая одежда  без     	                                	                                	Украшение               	Output                  	Проверка качества       	Input                   	
проверки качества       	                                	                                	                        	                        	                        	                        	

Детали                  	                                	                                	Покрой                  	Output                  	Глажка                  	Input                   	

Договор                 	                                	                                	Составление и подписание	Output                  	{ Border }              	Output                  	
                        	                                	                                	договора с заказчиком   	                        	                        	                        	

                        	                                	                                	                        	                        	Составление точного     	Input                   	
                        	                                	                                	                        	                        	плана производства и    	                        	
                        	                                	                                	                        	                        	доставки товара         	                        	

Договор о доставке      	                                	                                	Заключение договора с   	Output                  	Доставка товара         	Input                   	
товара                  	                                	                                	перевозчиком            	                        	                        	                        	

ДСТУ 1460-91            	                                	                                	{ Border }              	Control                 	Покрой                  	Control                 	

                        	                                	                                	                        	                        	Глажка                  	Control                 	

                        	                                	                                	                        	                        	Пошив                   	Control                 	

                        	                                	                                	                        	                        	Глажка после  пошива    	Control                 	

                        	                                	                                	                        	                        	Украшение               	Control                 	

                        	                                	                                	                        	                        	Проверка качества       	Control                 	

ДСТУ EN 13402-3:2009    	                                	                                	{ Border }              	Control                 	Покрой                  	Control                 	

Ескзы и чертежи главного	                                	                                	{ Border }              	Input                   	Пошив образца           	Input                   	
дизайнера               	                                	                                	                        	                        	                        	                        	

                        	                                	                                	                        	                        	Покрой                  	Input                   	

                        	                                	                                	                        	                        	Пошив                   	Input                   	

                        	                                	                                	                        	                        	Украшение               	Input                   	

Заказ покупателя        	                                	                                	{ Border }              	Input                   	                        	                        	

Законодательство страны 	                                	                                	{ Border }              	Control                 	Составление и подписание	Control                 	
                        	                                	                                	                        	                        	договора с заказчиком   	                        	

                        	                                	                                	                        	                        	Страховка товара        	Control                 	

                        	                                	                                	                        	                        	Заключение договора с   	Control                 	
                        	                                	                                	                        	                        	перевозчиком            	                        	

Застрахованый товар     	                                	                                	Страховка товара        	Output                  	Доставка товара         	Input                   	

Инструкции использования	                                	                                	{ Border }              	Control                 	Покрой                  	Control                 	
станков                 	                                	                                	                        	                        	                        	                        	

                        	                                	                                	                        	                        	Глажка                  	Control                 	

                        	                                	                                	                        	                        	Пошив                   	Control                 	

