F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 - 29970 -      ?        00:00:01 systemd
1 S     0     2     0  0  80   0 -     0 -      ?        00:00:00 kthreadd
1 S     0     3     2  0  80   0 -     0 -      ?        00:00:01 ksoftirqd/0
1 S     0     5     2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:0H
1 S     0     6     2  0  80   0 -     0 -      ?        00:00:00 kworker/u2:0
1 S     0     7     2  0  80   0 -     0 -      ?        00:00:00 rcu_sched
1 S     0     8     2  0  80   0 -     0 -      ?        00:00:00 rcu_bh
1 S     0     9     2  0 -40   - -     0 -      ?        00:00:00 migration/0
5 S     0    10     2  0 -40   - -     0 -      ?        00:00:00 watchdog/0
5 S     0    11     2  0  80   0 -     0 -      ?        00:00:00 kdevtmpfs
1 S     0    12     2  0  60 -20 -     0 -      ?        00:00:00 netns
1 S     0    13     2  0  60 -20 -     0 -      ?        00:00:00 perf
1 S     0    14     2  0  80   0 -     0 -      ?        00:00:00 khungtaskd
1 S     0    15     2  0  60 -20 -     0 -      ?        00:00:00 writeback
1 S     0    16     2  0  85   5 -     0 -      ?        00:00:00 ksmd
1 S     0    17     2  0  99  19 -     0 -      ?        00:00:00 khugepaged
1 S     0    18     2  0  60 -20 -     0 -      ?        00:00:00 crypto
1 S     0    19     2  0  60 -20 -     0 -      ?        00:00:00 kintegrityd
1 S     0    20     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    21     2  0  60 -20 -     0 -      ?        00:00:00 kblockd
1 S     0    22     2  0  60 -20 -     0 -      ?        00:00:00 ata_sff
1 S     0    23     2  0  60 -20 -     0 -      ?        00:00:00 md
1 S     0    24     2  0  60 -20 -     0 -      ?        00:00:00 devfreq_wq
1 S     0    25     2  0  80   0 -     0 -      ?        00:00:00 kworker/u2:1
1 S     0    26     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:1
1 S     0    28     2  0  80   0 -     0 -      ?        00:00:00 kswapd0
1 S     0    29     2  0  60 -20 -     0 -      ?        00:00:00 vmstat
1 S     0    30     2  0  80   0 -     0 -      ?        00:00:00 fsnotify_mark
1 S     0    31     2  0  80   0 -     0 -      ?        00:00:00 ecryptfs-kthrea
1 S     0    47     2  0  60 -20 -     0 -      ?        00:00:00 kthrotld
1 S     0    48     2  0  60 -20 -     0 -      ?        00:00:00 acpi_thermal_pm
1 S     0    49     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    50     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    51     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    52     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    53     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    54     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    55     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    56     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    57     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    58     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    59     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    60     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    61     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    62     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    63     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    64     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    65     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    66     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    67     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    68     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    69     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    70     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    71     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    72     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    73     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_0
1 S     0    74     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_0
1 S     0    75     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_1
1 S     0    76     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_1
1 S     0    82     2  0  60 -20 -     0 -      ?        00:00:00 ipv6_addrconf
1 S     0    95     2  0  60 -20 -     0 -      ?        00:00:00 deferwq
1 S     0    96     2  0  60 -20 -     0 -      ?        00:00:00 charger_manager
1 S     0    98     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0   229     2  0  60 -20 -     0 -      ?        00:00:00 kpsmoused
1 S     0   487     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_2
1 S     0   490     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_2
1 S     0   495     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0   540     2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:1H
1 S     0   542     2  0  80   0 -     0 -      ?        00:00:00 jbd2/sda1-8
1 S     0   543     2  0  60 -20 -     0 -      ?        00:00:00 ext4-rsv-conver
4 S     0   573     1  0  80   0 -  7439 -      ?        00:00:00 systemd-journal
1 S     0   579     2  0  80   0 -     0 -      ?        00:00:00 kauditd
4 S     0   616     1  0  80   0 - 11308 -      ?        00:00:00 systemd-udevd
1 S     0  1106     2  0  60 -20 -     0 -      ?        00:00:00 iprt-VBoxWQueue
1 S     0  1284     2  0  60 -20 -     0 -      ?        00:00:00 ttm_swap
4 S   104  1688     1  0  80   0 - 64099 -      ?        00:00:00 rsyslogd
4 S   106  1690     1  0  80   0 - 11069 -      ?        00:00:00 dbus-daemon
4 S     0  1701     1  0  80   0 - 84349 -      ?        00:00:00 ModemManager
4 S   111  1704     1  0  80   0 - 11229 -      ?        00:00:00 avahi-daemon
0 S     0  1716     1  0  80   0 -  1100 -      ?        00:00:00 acpid
4 S     0  1722     1  0  80   0 - 97389 -      ?        00:00:00 NetworkManager
4 S     0  1738     1  0  80   0 -  9019 -      ?        00:00:00 cron
4 S     0  1739     1  0  80   0 -  7156 -      ?        00:00:00 systemd-logind
4 S   109  1740     1  0  80   0 - 96674 -      ?        00:00:00 whoopsie
4 S     0  1760     1  0  80   0 - 74675 -      ?        00:00:00 accounts-daemon
4 S     0  1763     1  0  80   0 - 50188 -      ?        00:00:00 snapd
1 S   111  1818  1704  0  80   0 - 11197 -      ?        00:00:00 avahi-daemon
4 S     0  1820     1  0  80   0 - 68705 -      ?        00:00:00 cups-browsed
4 S     0  1861     1  0  80   0 - 76211 -      ?        00:00:00 polkitd
4 S     0  1919     1  0  80   0 - 73040 -      ?        00:00:00 lightdm
1 S     0  1930     2  0  60 -20 -     0 -      ?        00:00:00 iprt-VBoxWQueue
1 S     0  1935     2  0  80   0 -     0 -      ?        00:00:00 iprt-VBoxTscThr
4 S     0  2158  1919  6  80   0 - 82060 -      tty7     00:01:26 Xorg
4 S     0  2160     1  0  80   0 -  5752 -      tty1     00:00:00 agetty
4 S     0  2165  1722  0  80   0 -  4030 -      ?        00:00:00 dhclient
4 S 65534  2188  1722  0  80   0 - 14994 -      ?        00:00:00 dnsmasq
1 S     0  2221     1  0  80   0 - 65954 -      ?        00:00:00 VBoxService
4 S     0  2436  1919  0  80   0 - 57059 -      ?        00:00:00 lightdm
4 S  1000  2443     1  0  80   0 - 11312 ep_pol ?        00:00:00 systemd
5 S  1000  2453  2443  0  80   0 - 15874 -      ?        00:00:00 (sd-pam)
4 S  1000  2552  2436  0  80   0 - 13441 poll_s ?        00:00:00 upstart
1 S  1000  2566     1  0  80   0 - 14143 wait   ?        00:00:00 VBoxClient
1 S  1000  2567  2566  0  80   0 - 31239 rtR0Se ?        00:00:00 VBoxClient
1 S  1000  2576     1  0  80   0 - 14143 wait   ?        00:00:00 VBoxClient
1 S  1000  2577  2576  0  80   0 - 14176 poll_s ?        00:00:00 VBoxClient
